1:158431.25,162322.4	106:158431.25,162322.4
2:149019.39,159990.915	89:148375.72,159294.26
2:149019.39,159990.915	90:149100.78,159241.67
2:149019.39,159990.915	95:148723.84,160336.69
2:149019.39,159990.915	97:149877.22,161091.04
3:148788.316667,150854.74	12:149198.46,149918.92
3:148788.316667,150854.74	18:147951.68,151173.07
3:148788.316667,150854.74	21:149214.81,151472.23
4:151780.095,159790.565	92:150413.22,159364.66
4:151780.095,159790.565	103:153146.97,160216.47
5:139939.92,160400.96	80:140522.99,160396.75
5:139939.92,160400.96	82:139356.85,160405.17
6:151500.72,152128.32	25:151500.72,152128.32
7:137348.14,155938.46	65:137348.14,155938.46
8:142491.56,157386.156667	67:141521.17,156506.1
8:142491.56,157386.156667	68:143425.75,157339.4
8:142491.56,157386.156667	73:142527.76,158312.97
9:139526.036,156581.898	62:139842.82,155778.7
9:139526.036,156581.898	63:138989.32,156131.45
9:139526.036,156581.898	64:139881.78,156200.28
9:139526.036,156581.898	66:139202.45,156601.01
9:139526.036,156581.898	72:139713.81,158198.05
10:140919.833333,153602.831667	23:140808.2,152432.47
10:140919.833333,153602.831667	27:140416.57,152146.08
10:140919.833333,153602.831667	36:140309.15,153473.78
10:140919.833333,153602.831667	40:141339.45,153959.72
10:140919.833333,153602.831667	43:142144.79,154597.26
10:140919.833333,153602.831667	60:140500.84,155007.68
11:149160.536667,154680.973333	39:149366.89,153648.05
11:149160.536667,154680.973333	42:149026.56,154716.68
11:149160.536667,154680.973333	45:149088.16,155678.19
12:144087.338,153824.674	31:143839.8,153020.83
12:144087.338,153824.674	33:143678.06,153444.64
12:144087.338,153824.674	34:145035.99,153315.7
12:144087.338,153824.674	41:144690.98,154316.99
12:144087.338,153824.674	46:143191.86,155025.21
13:142668.493333,160008.073333	76:142990.55,159397.09
13:142668.493333,160008.073333	78:143385.22,160463.48
13:142668.493333,160008.073333	79:141629.71,160163.65
14:156215.57,160778.895	98:156650.53,160402.73
14:156215.57,160778.895	100:155780.61,161155.06
15:144507.686,151887.712	13:143976.3,151159.16
15:144507.686,151887.712	17:145146.77,151489.56
15:144507.686,151887.712	19:143800.1,151838.39
15:144507.686,151887.712	22:144302.05,152239.5
15:144507.686,151887.712	29:145313.21,152711.95
16:154830.09,160255.05	99:154830.09,160255.05
17:146867.945,150123.465	4:146277.0,149377.05
17:146867.945,150123.465	5:148037.42,149443.9
17:146867.945,150123.465	7:146343.98,150237.09
17:146867.945,150123.465	16:146813.38,151435.82
18:140865.52,149995.37	6:141732.23,149908.02
18:140865.52,149995.37	11:139998.81,150082.72
19:138996.5525,153319.305	26:139366.74,151652.59
19:138996.5525,153319.305	54:138760.28,153074.01
19:138996.5525,153319.305	55:138393.68,154240.89
19:138996.5525,153319.305	56:139465.51,154309.73
20:156017.725,165803.495	108:154680.75,164650.33
20:156017.725,165803.495	111:157354.7,166956.66
21:138436.36,155346.6975	57:137872.62,155016.21
21:138436.36,155346.6975	58:139064.12,155217.43
21:138436.36,155346.6975	59:138015.18,155514.96
21:138436.36,155346.6975	61:138793.52,155638.19
22:145017.0,157800.104	47:144403.29,155930.01
22:145017.0,157800.104	69:144718.68,157602.56
22:145017.0,157800.104	74:144512.67,158820.03
22:145017.0,157800.104	83:145961.77,157814.67
22:145017.0,157800.104	88:145488.59,158833.25
23:136717.67,158161.376667	70:137889.68,157781.66
23:136717.67,158161.376667	71:136656.23,157553.55
23:136717.67,158161.376667	75:135607.1,159148.92
24:165601.2275,165355.99	105:164429.87,163489.97
24:165601.2275,165355.99	109:169251.06,165333.16
24:165601.2275,165355.99	110:165295.96,166307.48
24:165601.2275,165355.99	112:163428.02,166293.35
25:147742.916,157132.874	49:146935.26,156555.27
25:147742.916,157132.874	50:147771.44,156163.04
25:147742.916,157132.874	51:148886.18,156757.98
25:147742.916,157132.874	84:147221.06,157904.41
25:147742.916,157132.874	86:147900.64,158283.67
26:146703.04,154392.335	35:147188.79,152823.15
26:146703.04,154392.335	37:146543.68,153913.78
26:146703.04,154392.335	44:147066.4,155149.29
26:146703.04,154392.335	48:146013.29,155683.12
27:159965.035,165123.275	107:158487.34,164413.38
27:159965.035,165123.275	113:161442.73,165833.17
28:143943.073333,150083.776667	8:143903.27,150127.84
28:143943.073333,150083.776667	9:145062.68,150092.55
28:143943.073333,150083.776667	10:142863.27,150030.94
29:150010.4925,157857.9975	52:149951.9,157738.28
29:150010.4925,157857.9975	53:150870.25,156890.84
29:150010.4925,157857.9975	85:149007.88,158255.23
29:150010.4925,157857.9975	87:150211.94,158547.64
30:137404.8,160392.03	81:137404.8,160392.03
31:151449.44,153764.25	38:151449.44,153764.25
32:142284.698571,152131.031429	14:141546.87,151107.9
32:142284.698571,152131.031429	15:142646.6,151242.96
32:142284.698571,152131.031429	20:142199.94,151897.77
32:142284.698571,152131.031429	24:143106.67,152356.13
32:142284.698571,152131.031429	28:141612.02,152424.78
32:142284.698571,152131.031429	30:142147.44,152788.09
32:142284.698571,152131.031429	32:142733.35,153099.59
33:145817.758,159967.072	77:144348.86,159828.82
33:145817.758,159967.072	91:145614.26,159480.68
33:145817.758,159967.072	93:146987.68,159418.21
33:145817.758,159967.072	94:145693.65,160063.07
33:145817.758,159967.072	96:146444.34,161044.58
34:155736.226667,161956.856667	101:155973.69,161520.81
34:155736.226667,161956.856667	102:155757.62,161698.63
34:155736.226667,161956.856667	104:155477.37,162651.13
